cost_id,line_id,cost_month,cost_type,amount
1,1,2024-01,Labor,19201.32
2,1,2024-01,Energy,6589.18
3,1,2024-01,Maintenance,3932.06
4,1,2024-01,Materials,30088.84
5,1,2024-02,Labor,19109.58
6,1,2024-02,Energy,5150.24
7,1,2024-02,Maintenance,3458.13
8,1,2024-02,Materials,26710.74
9,1,2024-03,Labor,22829.13
10,1,2024-03,Energy,5725.06
11,1,2024-03,Maintenance,4939.08
12,1,2024-03,Materials,29551.19
13,1,2024-04,Labor,16630.31
14,1,2024-04,Energy,4909.02
15,1,2024-04,Maintenance,3403.69
16,1,2024-04,Materials,29106.17
17,1,2024-05,Labor,16197.03
18,1,2024-05,Energy,5913.81
19,1,2024-05,Maintenance,4203.4
20,1,2024-05,Materials,29068.35
21,1,2024-06,Labor,15419.08
22,1,2024-06,Energy,6019.1
23,1,2024-06,Maintenance,4170.15
24,1,2024-06,Materials,26760.34
25,1,2024-07,Labor,21765.25
26,1,2024-07,Energy,5315.03
27,1,2024-07,Maintenance,4815.66
28,1,2024-07,Materials,28660.98
29,1,2024-08,Labor,19402.84
30,1,2024-08,Energy,6898.58
31,1,2024-08,Maintenance,
32,1,2024-08,Materials,21729.97
33,1,2024-09,Labor,20391.89
34,1,2024-09,Energy,6374.02
35,1,2024-09,Maintenance,4478.75
36,1,2024-09,Materials,24224.98
37,1,2024-10,Labor,22561.8
38,1,2024-10,Energy,6562.11
39,1,2024-10,Maintenance,3370.8
40,1,2024-10,Materials,25622.55
41,1,2024-11,Labor,21207.2
42,1,2024-11,Energy,7182.4
43,1,2024-11,Maintenance,4189.19
44,1,2024-11,Materials,31184.34
45,1,2024-12,Labor,16809.02
46,1,2024-12,Energy,6031.8
47,1,2024-12,Maintenance,4997.19
48,1,2024-12,Materials,31203.21
49,2,2024-01,Labor,20571.41
50,2,2024-01,Energy,7376.94
51,2,2024-01,Maintenance,3377.55
52,2,2024-01,Materials,30812.44
53,2,2024-02,Labor,17285.58
54,2,2024-02,Energy,5334.99
55,2,2024-02,Maintenance,3678.74
56,2,2024-02,Materials,25224.61
57,2,2024-03,Labor,16660.73
58,2,2024-03,Energy,5761.7
59,2,2024-03,Maintenance,3469.96
60,2,2024-03,Materials,23702.21
61,2,2024-04,Labor,19550.55
62,2,2024-04,Energy,6125.56
63,2,2024-04,Maintenance,3893.44
64,2,2024-04,Materials,29330.65
65,2,2024-05,Labor,22441.59
66,2,2024-05,Energy,7070.37
67,2,2024-05,Maintenance,3864.0
68,2,2024-05,Materials,29305.53
69,2,2024-06,Labor,15767.82
70,2,2024-06,Energy,5190.95
71,2,2024-06,Maintenance,3891.25
72,2,2024-06,Materials,30096.28
73,2,2024-07,Labor,16617.13
74,2,2024-07,Energy,4989.76
75,2,2024-07,Maintenance,3463.42
76,2,2024-07,Materials,30734.31
77,2,2024-08,Labor,20104.05
78,2,2024-08,Energy,5559.6
79,2,2024-08,Maintenance,4310.59
80,2,2024-08,Materials,26594.75
81,2,2024-09,Labor,20298.92
82,2,2024-09,Energy,5499.56
83,2,2024-09,Maintenance,4928.81
84,2,2024-09,Materials,23867.11
85,2,2024-10,Labor,20647.18
86,2,2024-10,Energy,4848.37
87,2,2024-10,Maintenance,3945.31
88,2,2024-10,Materials,24396.37
89,2,2024-11,Labor,19291.36
90,2,2024-11,Energy,5018.21
91,2,2024-11,Maintenance,4780.26
92,2,2024-11,Materials,22722.26
93,2,2024-12,Labor,20493.34
94,2,2024-12,Energy,7209.64
95,2,2024-12,Maintenance,4323.75
96,2,2024-12,Materials,29261.04
97,3,2024-01,Labor,20356.74
98,3,2024-01,Energy,5866.59
99,3,2024-01,Maintenance,4817.72
100,3,2024-01,Materials,23683.77
101,3,2024-02,Labor,19540.92
102,3,2024-02,Energy,7036.19
103,3,2024-02,Maintenance,3957.91
104,3,2024-02,Materials,23784.6
105,3,2024-03,Labor,18534.11
106,3,2024-03,Energy,7253.89
107,3,2024-03,Maintenance,5059.84
108,3,2024-03,Materials,26813.54
109,3,2024-04,Labor,20353.2
110,3,2024-04,Energy,7509.82
111,3,2024-04,Maintenance,3397.09
112,3,2024-04,Materials,22900.98
113,3,2024-05,Labor,20780.1
114,3,2024-05,Energy,7271.23
115,3,2024-05,Maintenance,4914.06
116,3,2024-05,Materials,25188.84
117,3,2024-06,Labor,15204.06
118,3,2024-06,Energy,6113.34
119,3,2024-06,Maintenance,3661.47
120,3,2024-06,Materials,23639.96
121,3,2024-07,Labor,21350.41
122,3,2024-07,Energy,5026.58
123,3,2024-07,Maintenance,4855.16
124,3,2024-07,Materials,25345.86
125,3,2024-08,Labor,19764.58
126,3,2024-08,Energy,5068.96
127,3,2024-08,Maintenance,3874.72
128,3,2024-08,Materials,21121.26
129,3,2024-09,Labor,23053.89
130,3,2024-09,Energy,7221.78
131,3,2024-09,Maintenance,4119.27
132,3,2024-09,Materials,22795.03
133,3,2024-10,Labor,22801.1
134,3,2024-10,Energy,5833.79
135,3,2024-10,Maintenance,3521.97
136,3,2024-10,Materials,27039.55
137,3,2024-11,Labor,22893.97
138,3,2024-11,Energy,4811.49
139,3,2024-11,Maintenance,3676.25
140,3,2024-11,Materials,31730.6
141,3,2024-12,Labor,15939.77
142,3,2024-12,Energy,5139.73
143,3,2024-12,Maintenance,4340.37
144,3,2024-12,Materials,30773.05
145,4,2024-01,Labor,18693.99
146,4,2024-01,Energy,7783.69
147,4,2024-01,Maintenance,4558.34
148,4,2024-01,Materials,20925.94
149,4,2024-02,Labor,23335.49
150,4,2024-02,Energy,6023.68
151,4,2024-02,Maintenance,3774.81
152,4,2024-02,Materials,26973.49
153,4,2024-03,Labor,17138.77
154,4,2024-03,Energy,5059.37
155,4,2024-03,Maintenance,3202.86
156,4,2024-03,Materials,25619.79
157,4,2024-04,Labor,21931.77
158,4,2024-04,Energy,6516.95
159,4,2024-04,Maintenance,5198.41
160,4,2024-04,Materials,23585.58
161,4,2024-05,Labor,16924.1
162,4,2024-05,Energy,5279.25
163,4,2024-05,Maintenance,3528.13
164,4,2024-05,Materials,23564.83
165,4,2024-06,Labor,21535.56
166,4,2024-06,Energy,7517.27
167,4,2024-06,Maintenance,5150.17
168,4,2024-06,Materials,22903.62
169,4,2024-07,Labor,22331.68
170,4,2024-07,Energy,5784.77
171,4,2024-07,Maintenance,3425.68
172,4,2024-07,Materials,30875.31
173,4,2024-08,Labor,
174,4,2024-08,Energy,5294.19
175,4,2024-08,Maintenance,4059.66
176,4,2024-08,Materials,23590.72
177,4,2024-09,Labor,21031.15
178,4,2024-09,Energy,6160.25
179,4,2024-09,Maintenance,5178.56
180,4,2024-09,Materials,20684.31
181,4,2024-10,Labor,17595.14
182,4,2024-10,Energy,6245.7
183,4,2024-10,Maintenance,
184,4,2024-10,Materials,23949.2
185,4,2024-11,Labor,20963.16
186,4,2024-11,Energy,
187,4,2024-11,Maintenance,5077.44
188,4,2024-11,Materials,30063.67
189,4,2024-12,Labor,22055.22
190,4,2024-12,Energy,6451.64
191,4,2024-12,Maintenance,4851.78
192,4,2024-12,Materials,23793.8
193,5,2024-01,Labor,17986.31
194,5,2024-01,Energy,5750.74
195,5,2024-01,Maintenance,4134.77
196,5,2024-01,Materials,23569.75
197,5,2024-02,Labor,23054.5
198,5,2024-02,Energy,5738.53
199,5,2024-02,Maintenance,3396.09
200,5,2024-02,Materials,26585.21
201,5,2024-03,Labor,14913.89
202,5,2024-03,Energy,5131.63
203,5,2024-03,Maintenance,3638.78
204,5,2024-03,Materials,25804.38
205,5,2024-04,Labor,18299.26
206,5,2024-04,Energy,7199.08
207,5,2024-04,Maintenance,4678.95
208,5,2024-04,Materials,25328.98
209,5,2024-05,Labor,17403.34
210,5,2024-05,Energy,5749.41
211,5,2024-05,Maintenance,4747.99
212,5,2024-05,Materials,20650.91
213,5,2024-06,Labor,14515.39
214,5,2024-06,Energy,7186.63
215,5,2024-06,Maintenance,4154.29
216,5,2024-06,Materials,21636.01
217,5,2024-07,Labor,16520.09
218,5,2024-07,Energy,
219,5,2024-07,Maintenance,4919.01
220,5,2024-07,Materials,28872.31
221,5,2024-08,Labor,18740.03
222,5,2024-08,Energy,6360.97
223,5,2024-08,Maintenance,5150.49
224,5,2024-08,Materials,32072.13
225,5,2024-09,Labor,16337.42
226,5,2024-09,Energy,7233.31
227,5,2024-09,Maintenance,3594.49
228,5,2024-09,Materials,22669.22
229,5,2024-10,Labor,20484.84
230,5,2024-10,Energy,
231,5,2024-10,Maintenance,5063.09
232,5,2024-10,Materials,21112.62
233,5,2024-11,Labor,19003.73
234,5,2024-11,Energy,7555.56
235,5,2024-11,Maintenance,5008.23
236,5,2024-11,Materials,21956.62
237,5,2024-12,Labor,
238,5,2024-12,Energy,6657.36
239,5,2024-12,Maintenance,3518.79
240,5,2024-12,Materials,32100.28
241,6,2024-01,Labor,22632.74
242,6,2024-01,Energy,5300.85
243,6,2024-01,Maintenance,3442.31
244,6,2024-01,Materials,
245,6,2024-02,Labor,22584.99
246,6,2024-02,Energy,5380.87
247,6,2024-02,Maintenance,4032.57
248,6,2024-02,Materials,25610.64
249,6,2024-03,Labor,19791.1
250,6,2024-03,Energy,5015.21
251,6,2024-03,Maintenance,3653.52
252,6,2024-03,Materials,31643.63
253,6,2024-04,Labor,22575.69
254,6,2024-04,Energy,7143.87
255,6,2024-04,Maintenance,3238.8
256,6,2024-04,Materials,24087.58
257,6,2024-05,Labor,20051.63
258,6,2024-05,Energy,
259,6,2024-05,Maintenance,5019.17
260,6,2024-05,Materials,27923.62
261,6,2024-06,Labor,15047.16
262,6,2024-06,Energy,7527.02
263,6,2024-06,Maintenance,5115.53
264,6,2024-06,Materials,20971.41
265,6,2024-07,Labor,19191.24
266,6,2024-07,Energy,5710.09
267,6,2024-07,Maintenance,3985.68
268,6,2024-07,Materials,22245.64
269,6,2024-08,Labor,19602.65
270,6,2024-08,Energy,7673.94
271,6,2024-08,Maintenance,4206.15
272,6,2024-08,Materials,21036.43
273,6,2024-09,Labor,19980.01
274,6,2024-09,Energy,5820.67
275,6,2024-09,Maintenance,4911.85
276,6,2024-09,Materials,25433.48
277,6,2024-10,Labor,16135.56
278,6,2024-10,Energy,5373.32
279,6,2024-10,Maintenance,4737.53
280,6,2024-10,Materials,23319.84
281,6,2024-11,Labor,21305.1
282,6,2024-11,Energy,5417.66
283,6,2024-11,Maintenance,3843.37
284,6,2024-11,Materials,25818.59
285,6,2024-12,Labor,22888.76
286,6,2024-12,Energy,7595.19
287,6,2024-12,Maintenance,
288,6,2024-12,Materials,24477.74
