log_id,line_id,production_date,planned_minutes,downtime_minutes,downtime_reason,units_produced,units_defective
1,1,2024-01-01,480,59,Operator Break,639,24
2,1,2024-01-02,480,7,Mechanical Failure,638,50
3,1,2024-01-03,480,41,Operator Break,681,20
4,1,2024-01-04,480,157,Changeover,514,21
5,1,2024-01-05,480,9,Material Shortage,654,30
6,1,2024-01-06,480,33,Changeover,655,29
7,1,2024-01-07,480,42,Material Shortage,602,27
8,1,2024-01-08,480,20,Unspecified,678,50
9,1,2024-01-09,480,10,Material Shortage,701,44
10,1,2024-01-10,480,2,Mechanical Failure,727,28
11,1,2024-01-11,480,3,Changeover,777,65
12,1,2024-01-12,480,74,Mechanical Failure,579,19
13,1,2024-01-13,480,51,Changeover,630,22
14,1,2024-01-14,480,30,Mechanical Failure,604,48
15,1,2024-01-15,480,13,Operator Break,718,33
16,1,2024-01-16,480,33,Changeover,671,26
17,1,2024-01-17,480,157,Unspecified,508,42
18,1,2024-01-18,480,101,Material Shortage,575,47
19,1,2024-01-19,480,4,Planned Maintenance,663,20
20,1,2024-01-20,480,17,Operator Break,672,29
21,1,2024-01-21,480,79,Planned Maintenance,578,25
22,1,2024-01-22,480,35,Planned Maintenance,612,45
23,1,2024-01-23,480,3,Mechanical Failure,782,57
24,1,2024-01-24,480,9,Planned Maintenance,628,47
25,1,2024-01-25,480,55,Operator Break,663,48
26,1,2024-01-26,480,3,Operator Break,688,24
27,1,2024-01-27,480,89,Material Shortage,597,28
28,1,2024-01-28,480,2,Material Shortage,683,32
29,1,2024-01-29,480,58,Changeover,646,51
30,1,2024-01-30,480,28,Operator Break,618,43
31,1,2024-01-31,480,64,Operator Break,627,45
32,1,2024-02-01,480,30,Changeover,672,35
33,1,2024-02-02,480,1,Material Shortage,654,19
34,1,2024-02-03,480,45,Changeover,622,36
35,1,2024-02-04,480,107,Operator Break,525,27
36,1,2024-02-05,480,63,Operator Break,585,19
37,1,2024-02-06,480,15,Mechanical Failure,642,52
38,1,2024-02-07,480,74,Material Shortage,621,49
39,1,2024-02-08,480,73,Operator Break,565,45
40,1,2024-02-09,480,34,Changeover,706,56
