product_id,product_name,category,supplier_id,unit_cost,reorder_point,order_quantity
1,Product 001,Apparel,10,47.72,7,18
2,Product 002,Apparel,6,66.5,27,66
3,Product 003,Home Goods,10,92.94,12,30
4,Product 004,Electronics,2,45.95,5,12
5,Product 005,Electronics,5,70.04,15,36
6,Product 006,Food,8,32.35,57,138
7,Product 007,Electronics,4,90.08,25,60
8,Product 008,Home Goods,14,92.31,2,6
9,Product 009,Home Goods,4,12.56,5,12
10,Product 010,Tools,9,144.95,110,264
11,Product 011,Home Goods,4,47.78,60,144
12,Product 012,Electronics,14,103.58,2,6
13,Product 013,Food,12,20.94,20,48
14,Product 014,Tools,9,8.06,25,60
15,Product 015,Electronics,11,41.04,90,216
16,Product 016,Food,7,48.82,40,96
17,Product 017,Electronics,3,83.37,27,66
18,Product 018,Tools,6,145.53,7,18
19,Product 019,Home Goods,11,141.11,55,132
20,Product 020,Tools,15,90.89,82,198
21,Product 021,Home Goods,6,16.01,95,228
22,Product 022,Tools,9,9.65,7,18
23,Product 023,Apparel,3,60.14,12,30
24,Product 024,Electronics,7,124.82,10,24
25,Product 025,Electronics,3,44.3,15,36
26,Product 026,Apparel,15,23.72,27,66
27,Product 027,Home Goods,4,13.96,60,144
28,Product 028,Electronics,2,116.52,162,390
29,Product 029,Apparel,4,3.81,7,18
30,Product 030,Electronics,3,106.91,62,150
31,Product 031,Food,12,116.38,47,114
32,Product 032,Home Goods,11,55.69,2,6
33,Product 033,Food,6,129.88,2,6
34,Product 034,Home Goods,10,51.64,35,84
35,Product 035,Apparel,15,48.71,2,6
36,Product 036,Home Goods,2,110.25,12,30
37,Product 037,Home Goods,15,133.42,37,90
38,Product 038,Apparel,5,20.58,22,54
39,Product 039,Home Goods,7,114.84,45,108
40,Product 040,Electronics,9,116.33,30,72
41,Product 041,Tools,2,79.84,25,60
42,Product 042,Apparel,7,6.74,20,48
43,Product 043,Tools,15,7.62,2,6
44,Product 044,Apparel,8,49.21,37,90
45,Product 045,Apparel,9,136.41,25,60
46,Product 046,Food,4,63.33,10,24
47,Product 047,Food,13,36.63,52,126
48,Product 048,Home Goods,2,45.59,2,6
49,Product 049,Tools,7,139.67,5,12
50,Product 050,Apparel,14,96.11,60,144
51,Product 051,Home Goods,14,121.14,75,180
52,Product 052,Electronics,9,134.21,7,18
53,Product 053,Apparel,12,121.69,27,66
54,Product 054,Electronics,1,49.75,82,198
55,Product 055,Home Goods,13,36.51,2,6
56,Product 056,Food,1,123.25,20,48
57,Product 057,Home Goods,1,4.02,72,174
58,Product 058,Electronics,10,64.36,25,60
59,Product 059,Apparel,14,20.62,7,18
60,Product 060,Tools,8,141.61,15,36
61,Product 061,Home Goods,3,79.26,12,30
62,Product 062,Apparel,3,56.45,45,108
63,Product 063,Food,13,144.48,132,318
64,Product 064,Food,12,76.1,10,24
65,Product 065,Food,5,44.87,12,30
66,Product 066,Apparel,14,92.61,2,6
67,Product 067,Home Goods,9,10.57,25,60
68,Product 068,Apparel,8,136.52,10,24
69,Product 069,Apparel,12,24.3,10,24
70,Product 070,Tools,4,147.89,25,60
71,Product 071,Tools,9,101.8,10,24
72,Product 072,Home Goods,2,37.93,52,126
73,Product 073,Tools,11,57.06,47,114
74,Product 074,Food,15,96.13,37,90
75,Product 075,Tools,5,16.27,27,66
76,Product 076,Food,4,50.15,67,162
77,Product 077,Home Goods,4,8.99,7,18
78,Product 078,Apparel,3,102.6,32,78
79,Product 079,Apparel,13,78.28,2,6
80,Product 080,Tools,14,97.84,7,18
