po_id,product_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered
1,1,10.0,2024-01-15,2024-02-14,2024-02-14,18
2,1,10.0,2024-03-11,2024-04-10,2024-04-10,18
3,1,10.0,2024-05-06,2024-06-05,2024-06-10,18
4,1,10.0,2024-07-08,2024-08-07,2024-08-07,18
5,1,10.0,2024-08-26,2024-09-25,2024-09-25,18
6,1,10.0,2024-10-14,2024-11-13,2024-11-13,18
8,2,,2024-01-15,2024-01-22,2024-01-22,66
9,2,6.0,2024-02-26,2024-03-04,2024-03-15,66
10,2,6.0,2024-04-08,2024-04-15,2024-04-15,66
11,2,6.0,2024-05-20,2024-05-27,2024-05-27,66
12,2,6.0,2024-06-24,2024-07-01,2024-07-14,66
13,2,6.0,2024-08-12,2024-08-19,2024-09-01,66
14,2,6.0,2024-09-30,2024-10-07,2024-10-14,66
15,2,6.0,2024-11-11,2024-11-18,2024-11-26,66
16,2,6.0,2024-12-16,2024-12-23,2024-12-23,66
17,3,10.0,2024-01-15,2024-02-14,2024-02-14,30
18,3,10.0,2024-03-11,2024-04-10,2024-04-10,30
19,3,10.0,2024-05-06,2024-06-05,2024-06-19,30
20,3,10.0,2024-07-15,2024-08-14,2024-08-14,30
21,3,10.0,2024-09-02,2024-10-02,2024-10-02,30
22,3,10.0,2024-10-21,2024-11-20,2024-11-20,30
24,4,2.0,2024-01-15,2024-01-25,2024-01-25,12
25,4,2.0,2024-03-18,2024-03-28,2024-03-28,12
26,4,2.0,2024-05-13,2024-05-23,2024-05-23,12
27,4,2.0,2024-07-08,2024-07-18,2024-07-18,12
28,4,2.0,2024-09-02,2024-09-12,2024-09-12,12
29,4,2.0,2024-10-21,2024-10-31,2024-10-31,12
31,5,5.0,2024-01-15,2024-02-14,2024-02-14,36
32,5,5.0,2024-03-11,2024-04-10,2024-04-10,36
33,5,5.0,2024-04-29,2024-05-29,2024-05-29,36
34,5,5.0,2024-06-17,2024-07-17,2024-07-17,36
35,5,5.0,2024-08-12,2024-09-11,2024-09-18,36
36,5,5.0,2024-10-14,2024-11-13,2024-11-13,36
38,6,8.0,2024-01-22,2024-02-01,2024-02-01,138
39,6,8.0,2024-03-04,2024-03-14,2024-03-14,138
40,6,8.0,2024-04-01,2024-04-11,2024-04-11,138
41,6,8.0,2024-05-13,2024-05-23,2024-05-23,138
42,6,8.0,2024-06-24,2024-07-04,2024-07-15,138
43,6,8.0,2024-08-05,2024-08-15,2024-08-15,138
44,6,8.0,2024-09-16,2024-09-26,2024-09-26,138
45,6,8.0,2024-11-04,2024-11-14,2024-11-14,138
46,6,8.0,2024-12-09,2024-12-19,2024-12-19,138
47,7,4.0,2024-01-22,2024-02-21,2024-02-21,60
48,7,4.0,2024-03-11,2024-04-10,2024-04-19,60
49,7,4.0,2024-05-20,2024-06-19,2024-06-30,60
50,7,4.0,2024-07-29,2024-08-28,2024-08-28,60
51,7,4.0,2024-09-16,2024-10-16,2024-10-16,60
