product_id,snapshot_date,stock_on_hand,stockout
1,2024-01-01,11,0
1,2024-01-08,9,0
1,2024-01-15,6,0
1,2024-01-22,4,0
1,2024-01-29,2,0
1,2024-02-05,0,0
1,2024-02-12,16,0
1,2024-02-19,13,0
1,2024-02-26,10,0
1,2024-03-04,7,0
1,2024-03-11,3,0
1,2024-03-18,0,1
1,2024-03-25,0,1
1,2024-04-01,0,1
1,2024-04-08,17,0
1,2024-04-15,13,0
1,2024-04-22,9,0
1,2024-04-29,7,0
1,2024-05-06,4,0
1,2024-05-13,0,0
1,2024-05-20,0,1
1,2024-05-27,0,1
1,2024-06-03,0,1
1,2024-06-10,17,0
1,2024-06-17,14,0
1,2024-06-24,10,0
1,2024-07-01,7,0
1,2024-07-08,5,0
1,2024-07-15,3,0
1,2024-07-22,2,0
1,2024-07-29,0,1
1,2024-08-05,14,0
1,2024-08-12,11,0
1,2024-08-19,8,0
1,2024-08-26,6,0
1,2024-09-02,3,0
1,2024-09-09,2,0
1,2024-09-16,0,0
1,2024-09-23,15,0
1,2024-09-30,13,0
1,2024-10-07,9,0
1,2024-10-14,6,0
1,2024-10-21,1,0
1,2024-10-28,0,1
1,2024-11-04,0,1
1,2024-11-11,16,0
1,2024-11-18,14,0
1,2024-11-25,11,0
1,2024-12-02,8,0
1,2024-12-09,6,0
1,2024-12-16,4,0
1,2024-12-23,1,0
2,2024-01-01,45,0
2,2024-01-08,32,0
2,2024-01-15,18,0
2,2024-01-22,75,0
2,2024-01-29,68,0
2,2024-02-05,59,0
2,2024-02-12,46,0
2,2024-02-19,35,0
2,2024-02-26,22,0
2,2024-03-04,6,0
2,2024-03-11,0,1
2,2024-03-18,58,0
2,2024-03-25,44,0
2,2024-04-01,33,0
2,2024-04-08,20,0
2,2024-04-15,72,0
2,2024-04-22,65,0
2,2024-04-29,50,0
2,2024-05-06,-38,0
2,2024-05-13,28,0
2,2024-05-20,16,0
2,2024-05-27,71,0
2,2024-06-03,60,0
2,2024-06-10,47,0
2,2024-06-17,32,0
2,2024-06-24,21,0
2,2024-07-01,6,0
2,2024-07-08,0,1
